Bezirk;Anzahl;Anzahl_Inzidenz
Amstetten;273;235,113767504349
Baden;123;84,1296006237902
Bludenz;246;386,100386100386
Braunau am Inn;112;107,27147345031
Bregenz;255;189,756144750452
Bruck an der Leitha;73;71,5616116067052
Bruck-Mürzzuschlag;51;51,5234785419866
Deutschlandsberg;44;72,343434011279
Dornbirn;140;157,230938556395
Eferding;50;150,802268066112
Eisenstadt(Stadt);15;102,480016396803
Eisenstadt-Umgebung;22;51,2497961655834
Feldkirch;205;191,304510120475
Feldkirchen;10;33,403480642683
Freistadt;105;157,607961453596
Gänserndorf;72;69,4404259012789
Gmünd;12;32,6326380768499
Gmunden;62;61,0050083143923
Graz(Stadt);430;148,888873499858
Graz-Umgebung;178;115,389601970699
Grieskirchen;69;106,61145532362
Güssing;22;85,2812342520448
Hallein;65;107,662238712028
Hartberg-Fürstenfeld;289;318,907108649114
Hermagor;5;27,4363476733977
Hollabrunn;28;55,0552518777773
Horn;40;128,658732711483
Imst;273;454,575729319302
Innsbruck-Land;373;208,010350327351
Innsbruck-Stadt;382;289,152978578457
Jennersdorf;9;52,7364350169929
Kirchdorf an der Krems;38;66,8237611226392
Kitzbühel;345;540,066686495202
Klagenfurt Land;39;65,2173913043478
Klagenfurt Stadt;85;84,3111776783677
Korneuburg;147;161,735743599335
Krems an der Donau(Stadt);33;132,657983598649
Krems(Land);133;234,998939854407
Kufstein;485;442,187414525629
Landeck;950;2141,47243136017
Leibnitz;170;206,100577081616
Leoben;22;36,6300366300366
Lienz;137;281,008348204213
Liezen (inkl. Gröbming);80;100,123903330371
Lilienfeld;42;162,715016271502
Linz(Stadt);295;143,394612251247
Linz-Land;195;129,76382982971
Mattersburg;34;85,1596743894803
Melk;157;201,380159564916
Mistelbach;114;151,027383649299
Mödling;154;129,413939730079
Murau;5;18,0772985285079
Murtal;31;43,053163713127
Neunkirchen;171;198,166668598116
Neusiedl am See;50;83,9602364320258
Oberpullendorf;19;50,6491083091195
Oberwart;103;190,472668096753
Perg;250;365,182079784981
Reutte;55;168,350168350168
Ried im Innkreis;42;68,6229658192275
Rohrbach;142;251,220720401953
Salzburg(Stadt);143;92,7300905901654
Salzburg-Umgebung;182;119,515894957349
Sankt Johann im Pongau;430;533,677534658012
Sankt Pölten(Land);245;186,9601050029
Sankt Pölten(Stadt);78;141,704817963811
Sankt Veit an der Glan;48;87,9846026945285
Schärding;54;94,2293262603172
Scheibbs;100;241,52839166244
Schwaz;334;398,221120026707
Spittal an der Drau;38;49,940203177774
Steyr(Stadt);52;136,150603513733
Steyr-Land;168;278,021414268456
Südoststeiermark;47;54,6848639277694
Tamsweg;22;108,267716535433
Tulln;145;139,730753293309
Urfahr-Umgebung;278;325,127185544705
Villach Land;48;74,2252737056968
Villach Stadt;20;32,1321273074884
Vöcklabruck;104;76,3285945997519
Voitsberg;95;185,688317272923
Völkermarkt;52;124,170208701466
Waidhofen an der Thaya;63;243,355995055624
Waidhofen an der Ybbs(Stadt);22;195,364532457153
Weiz;149;164,927000431688
Wels(Stadt);57;92,3420869311646
Wels-Land;76;103,975702520043
Wien(Stadt);2084;109,829242931851
Wiener Neustadt(Land);62;79,496352143196
Wiener Neustadt(Stadt);39;86,1364489696755
Wolfsberg;43;81,5536926753404
Zell am See;334;381,880130799662
Zwettl;66;156,316612192696
